Medical condition:,Primary open-angle Glaucoma Pseudoexfoliation Glaucoma
Disease:,"Version: 20.0, SOC Term: 100000004853, Classification Code: 10037118, Term: Pseudoexfoliation glaucoma, Level: LLT"
Population Age:,"Adults, Elderly"
Gender:,"Male, Female"
Trial protocol:,GB(Completed)
Link:,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2006-000653-22
EudraCT Number:,2008-000581-23
Sponsor Protocol Number:,CSPP100A2244
Sponsor Name:,Novartis Pharma AG
Full Title:,"A randomized, double-masked, placebo-controlled add on study to assess the efficacy of oral aliskiren 300 mg once daily for diabetic macular edema"
Start Date:,2008-07-28
Medical condition:,Diabetic Macular Edema (DME) in hypertensive patients
Disease:,"Version: 19.0, SOC Term: 100000004853, Classification Code: 10057915, Term: Diabetic macular oedema, Level: LLT"
Population Age:,"Adults, Elderly"
Gender:,"Male, Female"
Trial protocol:,DK(Completed)
Link:,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2008-000581-23
EudraCT Number:,2007-001058-16
Sponsor Protocol Number:,V00147GL202
Sponsor Name:,PIERRE FABRE MEDICAMENT
Full Title:,A PHASE II DOUBLE-BLIND VEHICLE-CONTROLLED CROSSOVER SINGLE DOSE (400 µG) V0147 GEL EFFECT AND TOLERANCE STUDY IN SPINAL CORD INJURED PATIENTS WITH ERECTILE DYSFUNCTION
Start Date:,2007-04-30
Medical condition:,Erectile dysfunction
Disease:,"Version: 21.1, SOC Term: 10038604 - Reproductive system and breast disorders, Classification Code: 10052004, Term: Organic erectile dysfunction, Level: PT"
Population Age:,Adults
Gender:,Male
Trial protocol:,FR(Prematurely Ended)
Link:,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2007-001058-16
EudraCT Number:,2008-007225-39
Sponsor Protocol Number:,CareRA
Sponsor Name:,University Hospitals Leuven
Full Title:,A 2 year prospective multicentre randomised controlled trial comparing effectiveness in daily practice of different treatment strategies for early RA
Start Date:,2009-01-06
Medical condition:,"early active Rheumatoid Arthritis, previously untreated with DMARDS"
Disease:,"Version: 20.0, SOC Term: 10028395 - Musculoskeletal and connective tissue disorders, Classification Code: 10039073, Term: Rheumatoid arthritis, Level: PT"
Population Age:,"Adults, Elderly"
Gender:,"Male, Female"
Trial protocol:,BE(Completed)
Link:,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2008-007225-39
EudraCT Number:,2010-023062-40
Sponsor Protocol Number:,PRP-001
Sponsor Name:,"Medivation, Inc."
Full Title:,"A Phase 1/2, First in Human, Single-arm, Open-label Study of Once a Day, Orally Administered Talazoparib (BMN 673) in Patients with Advanced or Recurrent Solid Tumors"
Start Date:,2011-04-19
Medical condition:,Advanced or recurrent solid tumors for which there is no accepted standard treatment or for which standard treatment has failed.  Patients may also be eligible if they are unable or decline to unde...
Disease:,"Version: 19.0, SOC Term: 100000004864, Classification Code: 10065147, Term: Malignant solid tumor, Level: LLT"
Population Age:,"Adults, Elderly"
Gender:,"Male, Female"
Trial protocol:,GB(Completed)
Link:,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2010-023062-40
EudraCT Number:,2009-016877-14
Sponsor Protocol Number:,H1N1-2009
Sponsor Name:,COPSAC
Full Title:,H1N1v Vaccination of Pregnant Women: A Longitudinal Cohort Study Characterizing Influenza A-H1N1v Vaccination in Pregnant Women
Start Date:,2009-11-04
Medical condition:,Protection against Influenza A H1N1v disease
Disease:,
Population Age:,"In utero, Preterm newborn infants, Newborns, Infants and toddlers, Under 18, Adults"
Gender:,"Male, Female"
Trial protocol:,DK(Completed)
Link:,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2009-016877-14
EudraCT Number:,2011-002044-28
Sponsor Protocol Number:,HGT-MLD-070
Sponsor Name:,Shire Human Genetics Therapies Inc
Full Title:,"A Phase I/II, Multicenter, Open-label, Dose Escalation Study of HGT-1110 Administered Intrathecally in Children with Metachromatic Leukodystrophy"
Start Date:,2012-06-14
Medical condition:,Treatment of Metachromatic Leukodystrophy
Disease:,"Version: 19.0, SOC Term: 10010331 - Congenital, familial and genetic disorders, Classification Code: 10067609, Term: Metachromatic leukodystrophy, Level: PT"
Population Age:,"Infants and toddlers, Children, Under 18"
Gender:,"Male, Female"
Trial protocol:,DE(Completed) DK(Completed)
Link:,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2011-002044-28
EudraCT Number:,2013-001048-73
Sponsor Protocol Number:,BAY41-6551/13084
Sponsor Name:,Bayer AG
Full Title:,"A Prospective, Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Evaluate the Safety and Efficacy of BAY 41-6551 as Adjunctive Therapy in Intubated and Mechanically-Ventilated Pati..."
Start Date:,2013-07-25
Medical condition:,Gram-negative pneumonia
Disease:,"Version: 19.0, SOC Term: 100000004862, Classification Code: 10035701, Term: Pneumonia gram-negative bacterial NOS, Level: LLT"
Population Age:,"Adults, Elderly"
Gender:,"Male, Female"
Trial protocol:,CZ(Completed)
Link:,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2013-001048-73
EudraCT Number:,2012-001650-26
Sponsor Protocol Number:,AnticholiumperSeIII
Sponsor Name:,"Ruprecht-Karls-University Heidelberg, Med Faculty represented by Universitätsklinikum Heidelberg and its Commercial D"
Full Title:,"A randomised, placebo-controlled, double-blind, monocentre study on the application of physostigminsalicylate (Anticholium®) as adjunctive measure in perioperative sepsis/septic shock"
Start Date:,2014-04-28
Medical condition:,
Disease:,"Version: 19.0, SOC Term: 10021881 - Infections and infestations, Classification Code: 10040047, Term: Sepsis, Level: PT"
Population Age:,"Adults, Elderly"
Gender:,"Male, Female"
Trial protocol:,DE(Completed)
Link:,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2012-001650-26
EudraCT Number:,2012-000447-27
Sponsor Protocol Number:,USKH_VL1
Sponsor Name:,"Universitätsklinikum Schleswig-Holstein, Campus Kiel"
Full Title:,Open Label Study for the Functional Characterization of Drug Metabolism and Transport in patients before routine visceral surgery
Start Date:,2012-07-25
Medical condition:,"Pharmacokinetic trial in patients, with a good general condition before standard abdominal surgery"
Disease:,
Population Age:,"Adults, Elderly"
Gender:,"Male, Female"
Trial protocol:,DE(Temporarily Halted)
Link:,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2012-000447-27
EudraCT Number:,2012-000449-11
Sponsor Protocol Number:,EP250567
Sponsor Name:,Eero Pesonen
Full Title:,Heparin dose (300 IU/kg vs. 600 IU/kg) in coroanry artery bypass grafting
Start Date:,2012-03-01
Medical condition:,Patients undergoing elective coronary artery bypass grafting
Disease:,"Version: 21.1, SOC Term: 100000004865, Classification Code: 10068176, Term: Coronary artery bypass graft, Level: LLT"
Population Age:,"Adults, Elderly"
Gender:,"Male, Female"
Trial protocol:,FI(Ongoing)
Link:,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2012-000449-11
EudraCT Number:,2011-005066-38
Sponsor Protocol Number:,CINC424AGB02
Sponsor Name:,Novartis Pharmaceuticals UK Ltd
Full Title:,"A UK open-label, multicentre, exploratory Phase II study of INC424 for patients with primary myelofibrosis (PMF) or post polycythemia myelofibrosis (PPV MF) or post-essential thrombocythemia myelof..."
Start Date:,2012-03-09
Medical condition:,"primary myelofibrosis (PMF), post polycythemia vera myelofibrosis (PPV MF) or Post essential thrombocythemia myelofibrosis (PET-MF)"
Disease:,
Population Age:,"Adults, Elderly"
Gender:,"Male, Female"
Trial protocol:,GB(Completed)
Link:,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2011-005066-38
EudraCT Number:,2011-005082-21
Sponsor Protocol Number:,Uni-Koeln-1491
Sponsor Name:,University of Cologne
Full Title:,Targeted BEACOPP variants in patients with newly diagnosed advanced classical Hodgkin Lymphoma
Start Date:,2012-09-25
Medical condition:,newly diagnosed advanced classical Hodgkin Lymphoma
Disease:,"Version: 20.0, SOC Term:  100000004851, Classification Code: 10025319, Term: Lymphomas Hodgkin's disease, Level: HLGT"
Population Age:,Adults
Gender:,"Male, Female"
Trial protocol:,DE(Completed)
Link:,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2011-005082-21
EudraCT Number:,2012-004439-22
Sponsor Protocol Number:,CAIN457F2312
Sponsor Name:,Novartis Pharma Services AG
Full Title:,"A Phase III randomized, double-blind, placebo-controlled multicenter study of subcutaneous secukinumab in prefilled syringes to demonstrate the efficacy at 24 weeks and to assess the long term effi..."
Start Date:,2013-04-08
Medical condition:,Psoriatic arthritis
Disease:,"Version: 19.1, SOC Term: 100000004859, Classification Code: 10037160, Term: Psoriatic arthritis, Level: LLT"
Population Age:,"Adults, Elderly"
Gender:,"Male, Female"
Trial protocol:,GB(Completed) BE(Completed) CZ(Completed) DE(Completed) PL(Completed)
Link:,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2012-004439-22
